,a1 x,a1 y,a1 lenSum,a1 sd,a1 rt,a2 x,a2 y,a2 lenSum,a2 sd,a2 rt,a3 x,a3 y,a3 lenSum,a3 sd,a3 rt,a4 x,a4 y,a4 lenSum,a4 sd,a4 rt
1086,26578.824561403508,25531.508771929824,1097650.3109911704,6902.648225528267,5.1021575927734375e-05,26578.824561403508,25531.508771929824,1097650.3109911704,6902.648225528267,0.0010988712310791016,26055.1346097473,24050.8476591077,1095344.13694834,7188.16884359953,6.314160108566284,26541.267640016646,25502.727386201088,1097531.290094823,6908.632838140267,0.001232147216796875
1087,22375.614035087718,24324.57894736842,1050883.8125090383,6631.097629253278,3.314018249511719e-05,22375.614035087718,24324.57894736842,1050883.8125090383,6631.097629253278,0.0005609989166259766,21152.6383315683,24378.0604781359,1049254.79119325,6820.77543053029,5.854697942733765,22789.28896379681,25663.399599798635,1054199.510004122,6617.1538950636395,0.0012691020965576172
1088,24347.315789473683,24494.42105263158,1097960.2595231696,6988.620733638204,5.984306335449219e-05,24347.315789473683,24494.42105263158,1097960.2595231696,6988.620733638204,0.0007538795471191406,23620.7909656617,24099.2305092581,1097323.53757581,7067.88892292028,6.3289148807525635,24000.891899104725,24861.938580235787,1098128.4557531304,6998.729165531641,0.00228118896484375
1089,24266.912280701756,26242.56140350877,1069161.4187918587,8019.3792255845165,3.314018249511719e-05,24266.912280701756,26242.56140350877,1069161.4187918587,8019.3792255845165,0.0005502700805664062,22913.8879841171,24784.6106291446,1064676.11037825,8438.75245855404,6.467480897903442,25559.849510078555,26187.870742373263,1074022.9766219116,7923.270909334912,0.0013818740844726562
1090,25430.912280701756,25272.315789473683,1095930.7768035484,6652.253589240641,2.9802322387695312e-05,25430.912280701756,25272.315789473683,1095930.7768035484,6652.253589240641,0.0005807876586914062,25177.7519263355,25264.1616044090,1095865.50887243,6660.38021716598,4.999821186065674,25402.57038211215,26332.331148929938,1096918.654638059,6686.565986232046,0.0012478828430175781
1091,22556.719298245614,21981.298245614034,1097860.334199886,7211.732285168641,2.6941299438476562e-05,22556.719298245614,21981.298245614034,1097860.334199886,7211.732285168641,0.0005497932434082031,23085.2111286973,19841.2398998859,1093291.73861061,7742.69552424652,6.739053726196289,23812.139344763622,23070.262889412694,1102521.8466673053,7184.28849131732,0.0012180805206298828
1092,24958.070175438595,25235.614035087718,990000.8089892522,6906.578978198604,3.0040740966796875e-05,24958.070175438595,25235.614035087718,990000.8089892522,6906.578978198604,0.0005197525024414062,24659.1110474112,24441.8992492258,989324.589775920,6988.00063319086,6.137948036193848,24322.008182837028,26693.399793378587,995506.525640356,6845.869580141587,0.001249074935913086
1093,22883.77192982456,24865.105263157893,1173618.6717283346,6869.579355057063,3.0994415283203125e-05,22883.77192982456,24865.105263157893,1173618.6717283346,6869.579355057063,0.0005540847778320312,22505.1983556859,24500.9047918004,1173329.68645046,6904.76878099498,5.534121990203857,24137.48281853637,25009.741880236783,1176346.0230542447,6841.868831587777,0.0012297630310058594
1094,23057.824561403508,22533.052631578947,1086850.012779429,7554.251427476701,2.9325485229492188e-05,23057.824561403508,22533.052631578947,1086850.012779429,7554.251427476701,0.0005619525909423828,21420.6417546886,23119.5660752733,1083912.23817490,7877.42995299389,6.048450946807861,24501.34807780689,24208.404959398427,1093063.189512707,7601.878430165782,0.0014262199401855469
1095,26085.245614035088,26592.701754385966,1020921.2841147354,6583.050241339493,3.1948089599609375e-05,26085.245614035088,26592.701754385966,1020921.2841147354,6583.050241339493,0.0005428791046142578,28094.8568845121,25354.8718168161,1015027.71607207,7252.61666314184,6.141823053359985,25409.14653234447,26616.698060393963,1024431.5974877322,6448.595039578829,0.0018291473388671875
